id,exercise_name,body_part,type,equipment,difficulty,met_value,goal_tag,sets_recommended,reps_recommended,rest_time_sec,recommended_weight_kg,video_url
301,Inchworm Stretch,Full Body,Pre Workout,Bodyweight,Beginner,3,Strength,2,8-10,20,Bodyweight,https://www.youtube.com/watch?v=inchworm-stretch
199,Incline Barbell Bench Press,Chest,Compound,Barbell,Advanced,6,Muscle Gain,4,6-10,90,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
57,Incline Bench Press,Chest,Compound,Barbell,Intermediate,4.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
58,Incline Bench Press,Chest,Compound,Barbell,Intermediate,4.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
192,Incline Cable Fly,Chest,Isolation,Cable,Intermediate,3.5,Fat Loss,3-4,15-20,45,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
137,Incline Dumbbell Curl,Arms,Isolation,Dumbbell,Advanced,3.5,Fat Loss,4,12-15,45,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
3,Incline Push-Up,Chest,Compound,Bodyweight,Beginner,3.5,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
4,Incline Push-Up,Chest,Compound,Bodyweight,Beginner,3,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
153,Inverted Row,Back,Compound,Bodyweight,Intermediate,5,Fat Loss,3-4,12-15,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
229,Inverted Row,Full Body,Compound,Bodyweight,Beginner,3.7,Strength,3,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
141,JM Press,Arms,Isolation,Barbell,Advanced,4,Muscle Gain,4,6-8,90,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
218,Jumping Jacks,Full Body,Compound,Bodyweight,Beginner,7.7,Fat Loss,3,30 sec,30,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
292,Jumping Jacks,Full Body,Pre Workout,Bodyweight,Beginner,8,Fat Loss,3,30-45 sec,20,Bodyweight,https://www.youtube.com/watch?v=jumping-jacks
256,Jump Lunge,Legs,Compound,Bodyweight,Intermediate,8,Fat Loss,4,12-15,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
167,Jump Rope,Calves,Compound,Bodyweight,Intermediate,11,Fat Loss,4,60 sec,30,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
289,Jump Rope,Full Body,Pre Workout,Jump Rope,Beginner,11,Fat Loss,3,2-3 min,30,Bodyweight,https://www.youtube.com/watch?v=jump-rope
313,Jump Rope - Double Unders,Full Body,Pre Workout,Jump Rope,Intermediate,12.3,Fat Loss,4,2-3 min,30,Bodyweight,https://www.youtube.com/watch?v=jump-rope-double-unders
258,Jump Squat,Legs,Compound,Bodyweight,Advanced,9,Fat Loss,4,15-20,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
125,Kettlebell Swing,Full Body,Compound,Kettlebell,Advanced,9.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
231,Kettlebell Swing,Full Body,Compound,Kettlebell,Intermediate,9,Fat Loss,4,20-25,40,16-24,https://www.youtube.com/watch?v=dQw4w9WgXcQ
337,Kettlebell Swing Warm-Up,Full Body,Pre Workout,Kettlebell,Advanced,9.8,Strength,4,15-20,30,16,https://www.youtube.com/watch?v=kettlebell-swing-warmup
316,Lateral Band Walks,Hips,Pre Workout,Resistance Band,Intermediate,4.5,Muscle Gain,3,15 each direction,20,Bodyweight,https://www.youtube.com/watch?v=lateral-band-walks
255,Lateral Lunge,Legs,Compound,Dumbbell,Intermediate,5.5,Fat Loss,3-4,12-15,45,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
31,Lateral Raise,Shoulders,Isolation,Dumbbell,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
32,Lateral Raise,Shoulders,Isolation,Dumbbell,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
306,Lateral Shuffles,Legs,Pre Workout,Bodyweight,Beginner,5.5,Fat Loss,3,30 sec,20,Bodyweight,https://www.youtube.com/watch?v=lateral-shuffles
11,Lat Pulldown,Back,Compound,Machine,Beginner,4.5,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
12,Lat Pulldown,Back,Compound,Machine,Beginner,4,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
25,Leg Curl,Legs,Isolation,Machine,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
26,Leg Curl,Legs,Isolation,Machine,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
23,Leg Extension,Legs,Isolation,Machine,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
24,Leg Extension,Legs,Isolation,Machine,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
21,Leg Press,Legs,Compound,Machine,Beginner,4,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
22,Leg Press,Legs,Compound,Machine,Beginner,3.5,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
170,Leg Press Calf Raise,Calves,Isolation,Machine,Intermediate,3,Muscle Gain,4,10-15,60,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
49,Leg Raise,Core,Isolation,Bodyweight,Beginner,3.5,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
50,Leg Raise,Core,Isolation,Bodyweight,Beginner,3.5,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
294,Leg Swings,Legs,Pre Workout,Bodyweight,Beginner,2.8,Strength,2,15 each leg,15,Bodyweight,https://www.youtube.com/watch?v=leg-swings
184,Loaded Donkey Calf Raise,Calves,Isolation,Machine,Advanced,4,Strength,4-5,5-8,120,60-120,https://www.youtube.com/watch?v=dQw4w9WgXcQ
79,Lunges,Legs,Compound,Bodyweight,Intermediate,5.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
80,Lunges,Legs,Compound,Bodyweight,Intermediate,5.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
5,Machine Chest Press,Chest,Compound,Machine,Beginner,4,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
6,Machine Chest Press,Chest,Compound,Machine,Beginner,3.5,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
15,Machine Row,Back,Compound,Machine,Beginner,4,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
16,Machine Row,Back,Compound,Machine,Beginner,3.5,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
267,Machine Shoulder Press,Shoulders,Compound,Machine,Beginner,3.5,Strength,3,10-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
163,Machine Standing Calf Raise,Calves,Isolation,Machine,Beginner,3,Strength,3,10-12,60,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
232,Man Maker,Full Body,Compound,Dumbbell,Intermediate,9.5,Fat Loss,4,8-10,45,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
197,Medicine Ball Push-Up,Chest,Compound,Bodyweight,Advanced,7,Fat Loss,4,12-15,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
338,Medicine Ball Slam,Full Body,Pre Workout,Medicine Ball,Advanced,9.5,Fat Loss,4,10-12,30,6-8,https://www.youtube.com/watch?v=medicine-ball-slam
311,Moderate Pace Cycling,Lower Body,Pre Workout,Stationary Bike,Intermediate,8,Fat Loss,1,15-20 min,0,Bodyweight,https://www.youtube.com/watch?v=moderate-cycling
207,Mountain Climbers,Core,Compound,Bodyweight,Intermediate,8,Fat Loss,4,30 sec,35,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
158,Muscle-Up,Back,Compound,Bodyweight,Advanced,10,Fat Loss,4,6-10,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
248,Muscle-Up,Full Body,Compound,Bodyweight,Advanced,9,Muscle Gain,4,5-8,120,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
296,Neck Rolls,Neck,Pre Workout,Bodyweight,Beginner,1.5,Strength,2,10 each direction,10,Bodyweight,https://www.youtube.com/watch?v=neck-rolls
264,Nordic Hamstring Curl,Legs,Isolation,Bodyweight,Advanced,5,Muscle Gain,4,5-8,90,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
287,Outdoor Cycling,Lower Body,Pre Workout,Bicycle,Beginner,6.8,Fat Loss,1,10-20 min,0,Bodyweight,https://www.youtube.com/watch?v=outdoor-cycling
87,Overhead Barbell Press,Shoulders,Compound,Barbell,Intermediate,5.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
88,Overhead Barbell Press,Shoulders,Compound,Barbell,Intermediate,5.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
43,Overhead Cable Extension,Arms,Isolation,Cable,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
44,Overhead Cable Extension,Arms,Isolation,Cable,Beginner,3.3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
249,Overhead Squat,Full Body,Compound,Barbell,Advanced,7.5,Muscle Gain,4,5-8,120,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
212,Pallof Press,Core,Isolation,Cable,Advanced,4,Fat Loss,4,15-20,40,10-25,https://www.youtube.com/watch?v=dQw4w9WgXcQ
185,Pause Calf Raise,Calves,Isolation,Barbell,Advanced,4,Strength,4,5-8,120,60-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
7,Pec Deck Machine,Chest,Isolation,Machine,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
8,Pec Deck Machine,Chest,Isolation,Machine,Beginner,3.3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
156,Pendlay Row,Back,Compound,Barbell,Advanced,6,Fat Loss,4,10-12,50,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
261,Pistol Squat,Legs,Compound,Bodyweight,Advanced,8,Fat Loss,4,6-10,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
45,Plank,Core,Isolation,Bodyweight,Beginner,3.5,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
46,Plank,Core,Isolation,Bodyweight,Beginner,3.5,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
202,Plank,Core,Isolation,Bodyweight,Beginner,3.7,Strength,3,30-60 sec,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
328,Plank to Downward Dog,Full Body,Pre Workout,Bodyweight,Intermediate,4,Strength,3,10,20,Bodyweight,https://www.youtube.com/watch?v=plank-to-downward-dog
179,Plyometric Calf Jump,Calves,Compound,Bodyweight,Advanced,8.5,Fat Loss,4,15-20,35,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
336,Plyometric Lateral Bounds,Legs,Pre Workout,Bodyweight,Advanced,10.5,Fat Loss,4,10 each side,30,Bodyweight,https://www.youtube.com/watch?v=plyometric-lateral-bounds
194,Plyometric Push-Up,Chest,Compound,Bodyweight,Advanced,8,Fat Loss,4,15-20,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
117,Power Clean,Full Body,Compound,Barbell,Advanced,9.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
97,Preacher Curl,Arms,Isolation,Machine,Intermediate,3.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
98,Preacher Curl,Arms,Isolation,Machine,Intermediate,3.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
65,Pull-Up,Back,Compound,Bodyweight,Intermediate,6,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
66,Pull-Up,Back,Compound,Bodyweight,Intermediate,6,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
278,Push Press,Shoulders,Compound,Barbell,Advanced,7,Muscle Gain,4-5,6-8,90,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
1,Push-Up,Chest,Compound,Bodyweight,Beginner,4.5,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
2,Push-Up,Chest,Compound,Bodyweight,Beginner,3.8,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
191,Push-Up to Renegade Row,Chest,Compound,Bodyweight,Intermediate,6.5,Fat Loss,3-4,10-12,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
113,Rack Pull,Back,Compound,Barbell,Advanced,7.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
350,Reactive Cone Drills,Full Body,Pre Workout,Cones,Advanced,11,Fat Loss,5,30 sec,30,Bodyweight,https://www.youtube.com/watch?v=reactive-cone-drills
91,Rear Delt Fly,Shoulders,Isolation,Dumbbell,Intermediate,3.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
92,Rear Delt Fly,Shoulders,Isolation,Dumbbell,Intermediate,3.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
152,Renegade Row,Back,Compound,Dumbbell,Intermediate,6.5,Fat Loss,3-4,10-12,45,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
187,Resistance Band Chest Press,Chest,Compound,Bodyweight,Beginner,3.9,Strength,3,12-15,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
130,Resistance Band Curl,Arms,Isolation,Bodyweight,Beginner,3,Strength,3,12-15,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
268,Resistance Band Lateral Raise,Shoulders,Isolation,Bodyweight,Beginner,3,Strength,3,12-15,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
148,Resistance Band Row,Back,Compound,Bodyweight,Beginner,3.9,Strength,3,12-15,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
225,Resistance Band Squat Press,Full Body,Compound,Bodyweight,Beginner,5,Muscle Gain,3,12-15,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
341,Resisted Sprint with Band,Full Body,Pre Workout,Resistance Band,Advanced,13,Fat Loss,5,20 meters,60,Bodyweight,https://www.youtube.com/watch?v=resisted-sprint-band
146,Reverse Barbell Curl,Arms,Isolation,Barbell,Advanced,4,Strength,4,6-8,90,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
83,Romanian Deadlift,Back,Compound,Barbell,Intermediate,5.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
84,Romanian Deadlift,Back,Compound,Barbell,Intermediate,5.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
131,Rope Tricep Pushdown,Arms,Isolation,Cable,Intermediate,3.5,Fat Loss,3-4,15-20,40,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
312,Rowing Machine,Full Body,Pre Workout,Rowing Machine,Intermediate,7,Fat Loss,1,15-20 min,0,Bodyweight,https://www.youtube.com/watch?v=rowing-machine
332,Rowing Machine Sprint,Full Body,Pre Workout,Rowing Machine,Advanced,12,Fat Loss,5,500 meters,60,Bodyweight,https://www.youtube.com/watch?v=rowing-sprint
107,Russian Twist,Core,Isolation,Bodyweight,Intermediate,4,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
108,Russian Twist,Core,Isolation,Bodyweight,Intermediate,4,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
237,Sandbag Squat,Full Body,Compound,Bodyweight,Intermediate,5.8,Muscle Gain,4,8-12,75,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
318,Scapular Push-Ups,Shoulders,Pre Workout,Bodyweight,Intermediate,3.8,Strength,3,15,20,Bodyweight,https://www.youtube.com/watch?v=scapular-push-ups
162,Seal Row,Back,Compound,Barbell,Advanced,5.5,Muscle Gain,4,8-10,90,40-80,https://www.youtube.com/watch?v=dQw4w9WgXcQ
13,Seated Cable Row,Back,Compound,Cable,Beginner,4,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
14,Seated Cable Row,Back,Compound,Cable,Beginner,3.5,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
53,Seated Calf Raise,Calves,Isolation,Machine,Beginner,3.3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
54,Seated Calf Raise,Calves,Isolation,Machine,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
279,Seated Dumbbell Press,Shoulders,Compound,Dumbbell,Advanced,5,Muscle Gain,4,6-10,90,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
305,Shadow Boxing,Full Body,Pre Workout,Bodyweight,Beginner,7.8,Fat Loss,3,2 min,30,Bodyweight,https://www.youtube.com/watch?v=shadow-boxing
297,Shoulder Rolls,Shoulders,Pre Workout,Bodyweight,Beginner,1.8,Strength,2,10 each direction,10,Bodyweight,https://www.youtube.com/watch?v=shoulder-rolls
164,Single-Leg Bodyweight Calf Raise,Calves,Isolation,Bodyweight,Beginner,3,Strength,3,12-15,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
173,Single-Leg Seated Calf Raise,Calves,Isolation,Machine,Intermediate,3,Muscle Gain,3-4,12-15,60,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
182,Single-Leg Standing Barbell Calf Raise,Calves,Isolation,Barbell,Advanced,3.5,Muscle Gain,4,8-10,75,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
320,Skipping with Arm Drive,Full Body,Pre Workout,Bodyweight,Intermediate,8.5,Fat Loss,4,40 sec,20,Bodyweight,https://www.youtube.com/watch?v=skipping-arm-drive
99,Skull Crusher,Arms,Isolation,Barbell,Intermediate,3.5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
100,Skull Crusher,Arms,Isolation,Barbell,Intermediate,3.5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
260,Sled Push,Legs,Compound,Machine,Advanced,10,Fat Loss,4,30 sec,40,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
189,Smith Machine Bench Press,Chest,Compound,Machine,Beginner,3.8,Strength,3,8-12,75,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
172,Smith Machine Calf Raise,Calves,Isolation,Machine,Intermediate,3,Muscle Gain,4,10-12,60,30-60,https://www.youtube.com/watch?v=dQw4w9WgXcQ
119,Snatch,Full Body,Compound,Barbell,Advanced,11,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
140,Spider Curl,Arms,Isolation,Barbell,Advanced,3.5,Muscle Gain,4,8-10,75,20-40,https://www.youtube.com/watch?v=dQw4w9WgXcQ
193,Spiderman Push-Up,Chest,Compound,Bodyweight,Intermediate,5.5,Fat Loss,3-4,12-15,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
339,Sprint Drills - A-Skip,Full Body,Pre Workout,Bodyweight,Advanced,9,Fat Loss,4,30 meters,30,Bodyweight,https://www.youtube.com/watch?v=a-skip-drill
340,Sprint Drills - B-Skip,Full Body,Pre Workout,Bodyweight,Advanced,9.5,Fat Loss,4,30 meters,30,Bodyweight,https://www.youtube.com/watch?v=b-skip-drill
178,Sprint Intervals,Calves,Compound,Bodyweight,Advanced,13,Fat Loss,6,30 sec,30,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
304,Stair Climbing,Lower Body,Pre Workout,Stair Climber,Beginner,4,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=stair-climbing
325,Stair Climbing - Fast Pace,Lower Body,Pre Workout,Stair Climber,Intermediate,6,Fat Loss,1,15-20 min,0,Bodyweight,https://www.youtube.com/watch?v=stair-climbing-fast
169,Stair Running,Calves,Compound,Bodyweight,Intermediate,10,Fat Loss,4,60 sec,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
51,Standing Calf Raise,Calves,Isolation,Bodyweight,Beginner,3,Fat Loss,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
52,Standing Calf Raise,Calves,Isolation,Bodyweight,Beginner,3,Muscle Gain,3-4,8-12,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
286,Stationary Cycling,Lower Body,Pre Workout,Stationary Bike,Beginner,5.5,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=stationary-cycling
165,Step Calf Raise,Calves,Isolation,Bodyweight,Beginner,3,Strength,3,15-20,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
220,Step-Up,Full Body,Compound,Bodyweight,Beginner,4.5,Fat Loss,3,12-15,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
252,Step-Up with Dumbbell,Legs,Compound,Dumbbell,Beginner,3.7,Strength,3,10-12,60,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
228,Suitcase Deadlift,Full Body,Compound,Dumbbell,Beginner,4.5,Strength,3,8-10,75,15-30,https://www.youtube.com/watch?v=dQw4w9WgXcQ
115,Sumo Deadlift,Back,Compound,Barbell,Advanced,7.5,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
240,Sumo Deadlift,Full Body,Compound,Barbell,Intermediate,6.5,Strength,4,5-8,120,60-120,https://www.youtube.com/watch?v=dQw4w9WgXcQ
253,Sumo Squat,Legs,Compound,Dumbbell,Beginner,3.9,Strength,3,12-15,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
150,Superman Hold,Back,Isolation,Bodyweight,Beginner,3,Strength,3,30 sec,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
159,T-Bar Row,Back,Compound,Barbell,Advanced,5.5,Muscle Gain,4,6-10,90,40-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
73,T-Bar Row,Back,Compound,Machine,Intermediate,5,Muscle Gain,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
74,T-Bar Row,Back,Compound,Machine,Intermediate,5,Strength,3-4,8-12,60,20-50,https://www.youtube.com/watch?v=dQw4w9WgXcQ
319,Thoracic Spine Rotations,Spine,Pre Workout,Bodyweight,Intermediate,3,Strength,3,10 each side,15,Bodyweight,https://www.youtube.com/watch?v=thoracic-rotation
120,Thruster,Full Body,Compound,Barbell,Advanced,9,Strength,3-4,8-12,60,50-100,https://www.youtube.com/watch?v=dQw4w9WgXcQ
176,Tibialis Raise,Calves,Isolation,Bodyweight,Intermediate,3,Strength,3,15-20,60,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
210,Toes to Bar,Core,Isolation,Bodyweight,Advanced,5.5,Fat Loss,4,12-15,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
298,Torso Twists,Core,Pre Workout,Bodyweight,Beginner,2.8,Strength,2,20 each side,15,Bodyweight,https://www.youtube.com/watch?v=torso-twists
238,Trap Bar Deadlift,Full Body,Compound,Barbell,Intermediate,6.5,Strength,4,5-8,120,60-120,https://www.youtube.com/watch?v=dQw4w9WgXcQ
310,Treadmill Incline Running,Full Body,Pre Workout,Treadmill,Intermediate,11,Fat Loss,1,15-20 min,0,Bodyweight,https://www.youtube.com/watch?v=treadmill-incline-running
284,Treadmill Incline Walking,Full Body,Pre Workout,Treadmill,Beginner,5,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=treadmill-incline-walking
283,Treadmill Jogging,Full Body,Pre Workout,Treadmill,Beginner,7,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=treadmill-jogging
309,Treadmill Running,Full Body,Pre Workout,Treadmill,Intermediate,9.8,Fat Loss,1,15-20 min,0,Bodyweight,https://www.youtube.com/watch?v=treadmill-running
330,Treadmill Sprint Intervals,Full Body,Pre Workout,Treadmill,Advanced,14.5,Fat Loss,6-8,30 sec sprint / 30 sec walk,30,Bodyweight,https://www.youtube.com/watch?v=treadmill-sprint-intervals
282,Treadmill Walking,Full Body,Pre Workout,Treadmill,Beginner,3.5,Fat Loss,1,10-15 min,0,Bodyweight,https://www.youtube.com/watch?v=treadmill-walking
135,Tricep Dips,Arms,Compound,Bodyweight,Advanced,7,Fat Loss,4,15-20,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
133,Tricep Kickback,Arms,Isolation,Dumbbell,Intermediate,3.8,Fat Loss,3-4,15-20,40,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
128,Tricep Overhead Extension,Arms,Isolation,Dumbbell,Beginner,3,Strength,3,10-12,60,5-15,https://www.youtube.com/watch?v=dQw4w9WgXcQ
41,Tricep Pushdown,Arms,Isolation,Cable,Beginner,3,Fat Loss,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
42,Tricep Pushdown,Arms,Isolation,Cable,Beginner,3,Muscle Gain,3-4,8-12,60,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
245,Tuck Jump,Full Body,Compound,Bodyweight,Advanced,9,Fat Loss,4,15-20,35,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
344,Turkish Get-Up (Light),Full Body,Pre Workout,Kettlebell,Advanced,6.5,Strength,3,3 each side,45,8-12,https://www.youtube.com/watch?v=turkish-get-up
271,Upright Row,Shoulders,Compound,Dumbbell,Intermediate,5,Fat Loss,3-4,15-20,40,10-20,https://www.youtube.com/watch?v=dQw4w9WgXcQ
211,V-Up,Core,Isolation,Bodyweight,Advanced,5,Fat Loss,4,15-20,40,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
221,Walking Lunge,Full Body,Compound,Bodyweight,Beginner,5,Fat Loss,3,12-15,45,Bodyweight,https://www.youtube.com/watch?v=dQw4w9WgXcQ
